"state","county","clinton_pctvotes","trump_pctvotes","obama_pctvotes","pct_pop65","pct_black","pct_white","pct_hispanic","pct_asian","highschool","bachelors","income","trump_win"
"KY","Allen County",16.69,79.98,25.47,16.1,1.1,97.1,1.9,0.3,76.4,12.7,40.008,1
"KY","Anderson County",23.08,72.21,32.13,14.2,2.2,95.6,1.5,0.6,87.2,20.4,52.646,1
"KY","Ballard County",19.92,77.15,30.53,19.5,3.1,94.3,1.3,0.3,84.4,13.1,44.588,1
"KY","Barren County",23.14,72.99,32.6,16.8,4.2,93.2,3,0.7,79.2,14.7,38.873,1
"KY","Bath County",29.74,67.34,42.94,16,1.5,96.8,1.3,0.2,73.9,12,30.797,1
"KY","Bell County",17.71,79.93,23.45,17.3,2.4,95.2,1,0.4,68.3,10.8,26.228,1
"KY","Boone County",26.11,67.91,29.77,11.2,3.2,92,4,2.7,91.9,30.4,67.225,1
"KY","Bourbon County",31.75,63.35,38.88,17.5,6.3,91.2,6.9,0.4,81.6,15.8,40.933,1
"KY","Boyd County",29.45,66.48,40.84,17.9,3.1,94.7,1.6,0.5,87.6,16.3,40.379,1
"KY","Boyle County",33.11,62.19,36.15,17.6,7.8,88.9,3,0.9,84.7,22.8,41.473,1
"KY","Bracken County",20.02,76.97,35.51,15.4,0.7,97.7,1.6,0.1,80.9,14.2,39.196,1
"KY","Breathitt County",26.83,69.68,31.19,15.4,0.5,97.9,0.8,0.7,63.8,9.8,24.045,1
"KY","Breckinridge County",22.36,73.98,35.46,17.6,2.2,95.8,1.3,0.3,76.6,9.4,38.907,1
"KY","Bullitt County",22.91,72.73,31.38,13.6,1.1,96.7,1.7,0.6,85,12.7,54.836,1
"KY","Butler County",16.99,79.43,25.56,17.5,0.7,97.5,4,0.3,75.5,8.2,35.43,1
"KY","Caldwell County",21.1,75.47,31.6,19.3,5.5,92.4,1.5,0.3,84,16.8,37.127,1
"KY","Calloway County",29.61,64.64,35.28,15.9,4.1,91.7,2.6,2.3,86.1,27.7,39.677,1
"KY","Campbell County",34.51,58.98,37.54,13.8,3.1,93.9,1.8,1,88.5,28.5,54.306,1
"KY","Carlisle County",16.62,80.57,28.64,19.9,1.5,96.1,2.4,0.3,82.9,15.5,39.049,1
"KY","Carroll County",28.72,67.2,44.27,14.7,1.9,95.4,7,0.5,74.8,9.5,40.16,1
"KY","Carter County",22.17,73.9,37.99,16.5,0.7,97.9,1.2,0.2,75.5,10.4,36.406,1
"KY","Casey County",11.91,85.15,17.83,18.8,0.7,97.6,2.9,0.3,69.7,8.4,29.934,1
"KY","Christian County",32.57,63.93,37.59,11.1,21.1,73,7.6,1.6,85.2,15.1,38.904,1
"KY","Clark County",29.06,66.14,33.93,16.3,5.1,92.8,2.8,0.5,82.5,19.4,45.853,1
"KY","Clay County",11.12,86.68,15.05,13.5,4.3,94.4,2,0.2,63.6,9,21.883,1
"KY","Clinton County",12.28,85.52,17.12,18.2,0.6,97.2,2.8,0.2,67.7,7,27.1,1
"KY","Crittenden County",15.29,81.52,24.91,19.3,1,97.4,0.9,0.2,79,11.4,34.261,1
"KY","Cumberland County",15,81.74,21,20.7,2.8,95.5,1.1,0.2,73,13.9,31.593,1
"KY","Daviess County",30.96,63.18,38.52,16,5,91.9,2.8,0.9,88,18.8,46.555,1
"KY","Edmonson County",18.69,78.93,29.46,19.3,1.8,96.7,1,0.2,78.9,9.8,37.646,1
"KY","Elliott County",25.99,70.25,49.44,18.3,3.5,95.4,1,0.2,70,7.7,24.246,1
"KY","Estill County",20.01,76.49,26.16,17.1,0.3,98.6,0.9,0.1,72.7,8.3,29.184,1
