"country","hdi_2018","median_age","pctpop65","pct_internet","pct_labour"
"Mozambique",0.446,17.1,0.0305084745762712,10,78.5
"Myanmar",0.584,27.5,0.0577281191806331,30.7,62
"Namibia",0.645,21.1,0.0416666666666667,51,60.8
"Netherlands",0.934,42.1,0.192982456140351,94.7,63.4
"New Zealand",0.921,37.3,0.148936170212766,90.8,70
"Nicaragua",0.651,24.6,0.0461538461538461,27.9,66.7
"Niger",0.377,14.9,0.0267857142857143,5.3,78.7
"Nigeria",0.534,17.9,0.0275650842266463,42,55.2
"North Macedonia",0.759,37.4,0.142857142857143,79.2,55
"Norway",0.954,39.2,0.169811320754717,96.5,63.5
"Oman",0.834,29,0.0208333333333333,80.2,71.6
"Pakistan",0.56,21.8,0.0433553251649387,15.5,53.3
"Palestine, State of",0.69,19.5,0.0408163265306122,64.4,45.4
"Panama",0.795,28.4,0.0714285714285714,57.9,66.4
"Papua New Guinea",0.543,21.5,0.0348837209302326,11.2,46.8
"Paraguay",0.724,24.7,0.0571428571428571,65,70.6
"Peru",0.759,27.5,0.08125,52.5,77.2
"Philippines",0.712,24.1,0.0515463917525773,60.1,59.8
"Poland",0.872,39.7,0.174142480211082,77.5,56.9
"Portugal",0.85,43.9,0.223300970873786,74.7,58.7
"Qatar",0.848,31.5,0,99.7,86.9
"Romania",0.816,41.3,0.184615384615385,70.7,54.5
"Russian Federation",0.824,38.6,0.146877144818119,80.9,62
"Rwanda",0.536,19.4,0.032520325203252,21.8,83.9
"Saint Lucia",0.745,32.4,0,50.8,67.5
"Saint Vincent and the Grenadines",0.728,31.6,0,22.4,68.3
"Samoa",0.707,20.9,0,33.6,31.4
"Sao Tome and Principe",0.609,18.3,0,29.9,59.5
"Saudi Arabia",0.857,30,0.0326409495548961,93.3,56.5
"Senegal",0.514,18.1,0.0314465408805031,46,46.4
"Serbia",0.799,40.5,0.181818181818182,73.4,54.2
"Sierra Leone",0.438,18.7,0.025974025974026,9,58.1
"Singapore",0.935,39.7,0.120689655172414,88.2,68.3
"Slovakia",0.857,39.2,0.163636363636364,80.7,59.7
"Slovenia",0.902,43,0.19047619047619,79.8,58
